event_type,latency_ms
hit,0.3467
hit,0.1831
hit,0.1876
hit,0.1528
hit,0.16
hit,0.1652
hit,0.1488
hit,0.1605
hit,0.1898
hit,0.1652
hit,0.1798
hit,0.1698
retry,2444.9306
hit,0.2825
hit,0.1533
hit,0.1547
hit,0.1452
hit,0.1388
hit,0.1523
hit,0.1435
hit,0.1659
hit,0.1738
hit,0.1431
hit,0.1516
hit,0.1647
hit,0.1631
hit,0.1411
hit,0.1435
hit,0.1695
hit,0.1721
hit,0.144
retry,2209.1174
hit,0.2689
hit,0.1547
hit,0.1457
hit,0.1376
hit,0.1481
hit,0.1569
hit,0.1528
retry,2323.3557
hit,0.2797
hit,0.1996
hit,0.1974
hit,0.1755
hit,0.3531
hit,0.1743
hit,0.1721
hit,0.1454
hit,0.1538
hit,0.1609
hit,0.1462
hit,0.1521
hit,0.1426
hit,0.1345
hit,0.1342
hit,0.1388
hit,0.1683
hit,0.1392
hit,0.1392
hit,0.1447
hit,0.1347
hit,0.1407
hit,0.1357
retry,2346.04
hit,0.2992
hit,0.2079
hit,0.1943
hit,0.1864
hit,0.1667
hit,0.1891
hit,0.1585
hit,0.1667
hit,0.2778
hit,0.1514
hit,0.1636
hit,0.1497
hit,0.1607
hit,0.1466
hit,0.1552
hit,0.1533
hit,0.1562
hit,0.1762
hit,0.1569
hit,0.1557
retry,2330.6272
hit,0.5083
hit,0.1664
hit,0.1452
hit,0.149
hit,0.1483
hit,0.1602
hit,0.1476
hit,0.1681
hit,0.1459
hit,0.1385
hit,0.1531
hit,0.1593
hit,0.1347
hit,0.1559
hit,0.1481
hit,0.1433
hit,0.1407
hit,0.1504
hit,0.1752
hit,0.1726
hit,0.18
hit,0.1495
hit,0.3457
hit,0.1664
hit,0.1376
hit,0.1564
hit,0.1445
hit,0.15
hit,0.1385
hit,0.1485
hit,0.1447
hit,0.145
hit,0.1502
hit,0.1416
hit,0.1476
hit,0.1605
hit,0.1314
hit,0.1395
hit,0.1357
hit,0.1478
retry,2325.0675
hit,0.2916
hit,0.1657
hit,0.1571
hit,0.1776
hit,0.1357
hit,0.1316
hit,0.1411
hit,0.1507
hit,0.1533
hit,0.1457
hit,0.1347
hit,0.139
hit,0.1404
hit,0.1323
hit,0.1838
hit,0.1793
hit,0.1657
hit,0.1507
hit,0.1357
hit,0.1748
hit,0.1483
hit,0.1395
hit,0.155
hit,0.1428
hit,0.1411
hit,0.1659
hit,0.1423
hit,0.1407
hit,0.145
hit,0.15
hit,0.1438
hit,0.1357
hit,0.1378
hit,0.16
hit,0.1502
hit,0.1388
hit,0.1373
hit,0.1526
hit,0.1631
hit,0.1512
hit,0.1516
hit,0.1373
hit,0.1547
hit,0.1626
hit,0.1404
hit,0.1447
hit,0.15
hit,0.1712
hit,0.1404
hit,0.1297
hit,0.1388
hit,0.1423
hit,0.1359
hit,0.1409
hit,0.134
hit,0.1326
hit,0.1421
hit,0.1478
hit,0.1514
hit,0.1442
hit,0.1423
hit,0.1359
hit,0.1378
hit,0.1779
retry,2322.2744
hit,0.3302
hit,0.1583
hit,0.1578
hit,0.1438
hit,0.1829
hit,0.1545
hit,0.1585
hit,0.1304
hit,0.1428
hit,0.1342
hit,0.1419
hit,0.1438
hit,0.1371
hit,0.1407
hit,0.1376
hit,0.1395
hit,0.1323
hit,0.1884
hit,0.1423
hit,0.1526
hit,0.1438
hit,0.1676
hit,0.1645
hit,0.1392
hit,0.1478
hit,0.1409
hit,0.1414
hit,0.1326
hit,0.1395
hit,0.1392
hit,0.1397
hit,0.1299
hit,0.138
hit,0.1421
hit,0.1328
hit,0.1912
hit,0.1435
hit,0.1373
hit,0.1378
hit,0.1447
hit,0.1562
hit,0.1438
hit,0.1464
hit,0.1402
hit,0.1397
hit,0.1445
hit,0.1872
hit,0.1414
hit,0.1395
hit,0.1335
hit,0.1638
hit,0.1404
hit,0.1392
hit,0.15
hit,0.1483
hit,0.1411
hit,0.1407
hit,0.1447
hit,0.1483
hit,0.1385
hit,0.1402
hit,0.1466
hit,0.1578
hit,0.138
hit,0.1388
retry,2328.5115
hit,0.3209
hit,0.1888
hit,0.1752
hit,0.1493
hit,0.1457
hit,0.1476
hit,0.154
retry,2210.9258
hit,0.2739
hit,0.1757
hit,0.1459
hit,0.1388
hit,0.1388
hit,0.1497
hit,0.2086
hit,0.1469
hit,0.1583
hit,0.1512
hit,0.1476
hit,0.1414
hit,0.1576
hit,0.149
hit,0.1526
hit,0.1373
hit,0.1414
hit,0.1366
hit,0.1373
hit,0.1397
hit,0.1347
hit,0.1357
hit,0.1349
hit,0.1633
hit,0.1652
hit,0.1385
hit,0.1493
hit,0.1471
hit,0.1543
hit,0.1402
hit,0.138
hit,0.1421
hit,0.1457
hit,0.1361
retry,2455.5297
hit,0.3052
hit,0.1721
hit,0.164
hit,0.1574
hit,0.1411
hit,0.1442
hit,0.154
hit,0.1504
hit,0.1493
hit,0.1378
hit,0.133
hit,0.1397
hit,0.1397
hit,0.1664
hit,0.1345
hit,0.1295
hit,0.1409
hit,0.1454
hit,0.1636
hit,0.17
retry,2207.783
hit,0.345
hit,0.1774
hit,0.1574
hit,0.1569
hit,0.1459
hit,0.1595
hit,0.154
hit,0.1819
hit,0.1593
hit,0.1535
hit,0.1421
hit,0.1433
hit,0.1619
hit,0.1514
hit,0.1512
hit,0.1369
hit,0.1349
hit,0.1371
hit,0.1435
hit,0.1409
hit,0.1497
hit,0.1514
hit,0.1481
retry,2452.0245
hit,0.258
hit,0.1674
hit,0.1514
hit,0.1621
hit,0.159
hit,0.1419
hit,0.1435
retry,2208.2901
hit,0.3011
hit,0.1616
hit,0.1698
hit,0.1552
retry,2443.6564
hit,0.283
hit,0.1576
hit,0.1545
hit,0.1545
hit,0.1383
hit,0.1318
hit,0.1514
hit,0.1462
hit,0.1466
hit,0.133
hit,0.1352
hit,0.1557
hit,0.1569
hit,0.1361
hit,0.1385
hit,0.1287
hit,0.1726
hit,0.1466
hit,0.1802
hit,0.1662
hit,0.1514
hit,0.14
hit,0.1466
retry,2210.6569
hit,0.3364
hit,0.1907
hit,0.1757
hit,0.1783
hit,0.2048
hit,0.1707
hit,0.1497
hit,0.2198
hit,0.1945
hit,0.1814
hit,0.2069
hit,0.1857
hit,0.1721
hit,0.191
hit,0.2124
hit,0.1984
hit,0.1769
hit,0.1774
hit,0.2346
hit,0.1998
hit,0.1814
hit,0.1719
hit,0.1576
hit,0.1636
hit,0.1669
hit,0.1698
hit,0.1886
hit,0.1905
hit,0.2072
hit,0.1984
hit,0.221
hit,0.2177
hit,0.2756
hit,0.216
hit,0.2208
hit,0.2129
hit,0.2263
hit,0.2105
hit,0.2105
hit,0.1717
hit,0.2167
hit,0.2167
hit,0.2069
hit,0.2007
hit,0.1903
hit,0.2441
hit,0.2065
hit,0.2007
hit,0.2215
hit,0.2232
hit,0.2339
hit,0.1948
retry,3440.6633
hit,0.2849
hit,0.1893
hit,0.1459
hit,0.1652
hit,0.1638
hit,0.1497
hit,0.1552
hit,0.1462
hit,0.1557
hit,0.1464
hit,0.1371
hit,0.1383
hit,0.1423
hit,0.129
hit,0.1309
retry,2219.8262
hit,0.258
hit,0.174
hit,0.1521
hit,0.1507
hit,0.1411
hit,0.1433
hit,0.1433
hit,0.1476
hit,0.1616
hit,0.1943
hit,0.1934
hit,0.2012
hit,0.1848
hit,0.1645
hit,0.174
hit,0.1738
hit,0.1564
hit,0.1493
hit,0.1454
hit,0.1519
hit,0.1535
hit,0.1407
hit,0.1388
hit,0.1345
hit,0.1314
hit,0.1695
hit,0.1392
hit,0.1476
hit,0.1454
hit,0.1464
hit,0.144
