event_type,latency_ms
miss,67.9519
miss,3.7827
miss,3.3443
miss,3.2318
miss,13.675
miss,11.4427
miss,7.2725
miss,15.4779
miss,11.2782
miss,13.8688
miss,10.4072
miss,3.3944
hit,0.3202
miss,6.5954
hit,0.3157
miss,4.1454
miss,7.3433
hit,0.4804
hit,0.361
miss,3.6275
miss,9.656
miss,5.4827
miss,9.1255
miss,3.7174
miss,10.0956
hit,0.3333
miss,12.2631
miss,5.3334
miss,5.1157
miss,5.2018
hit,0.4847
hit,0.5112
hit,0.7041
miss,4.8478
miss,6.6974
miss,6.7382
hit,0.4549
miss,11.1899
miss,5.6036
miss,4.0054
miss,4.8215
miss,3.8505
miss,3.1548
miss,5.5375
miss,3.7165
miss,3.0696
miss,9.5541
hit,0.2542
miss,5.7261
miss,5.8181
miss,6.1901
hit,0.2344
hit,0.761
miss,10.6971
miss,7.201
hit,0.2949
miss,3.9206
hit,0.6688
miss,5.5094
miss,4.1237
hit,0.3586
hit,0.4163
hit,0.716
hit,0.5662
hit,0.3307
hit,0.6747
hit,0.5014
miss,6.824
hit,0.2933
miss,4.0333
hit,0.4132
miss,5.1339
hit,0.2573
hit,0.3607
hit,0.308
hit,0.2992
hit,1.8647
miss,3.5038
hit,0.284
hit,0.6821
hit,0.3626
hit,0.3319
hit,0.366
hit,0.3531
miss,7.7443
miss,10.1678
hit,0.3853
hit,1.1373
miss,6.917
hit,0.5786
hit,0.4039
hit,1.5008
hit,0.35
miss,4.6887
hit,0.6814
hit,0.4659
hit,1.6971
hit,0.5386
hit,2.634
hit,0.5095
hit,0.7169
miss,9.3133
hit,0.4482
hit,0.6039
hit,2.4984
miss,9.0516
miss,3.7863
hit,0.2961
hit,0.3731
hit,0.7381
hit,0.3135
miss,15.7609
miss,4.0329
miss,6.0079
hit,0.5467
hit,0.304
hit,0.381
hit,0.3293
miss,4.432
miss,14.2181
miss,12.383
miss,4.0057
hit,0.3102
hit,1.411
miss,10.1728
hit,0.2596
hit,1.647
hit,0.3321
miss,3.2208
hit,0.3407
hit,0.2971
hit,0.6807
miss,9.5596
miss,3.5396
hit,1.3354
hit,0.9506
miss,13.1075
miss,5.548
hit,1.097
hit,0.6845
miss,18.7037
miss,9.9769
