event_type,latency_ms
retry,4009.0301
retry,4003.0358
retry,2523.6919
retry,2510.2196
retry,2507.8151
retry,2511.7316
retry,2524.5914
retry,2527.1809
retry,2505.1105
retry,2542.6159
miss,44.9693
miss,27.0588
miss,18.4023
miss,25.5539
miss,15.554
miss,13.8874
hit,1.4496
miss,7.7164
miss,25.3356
miss,7.6394
miss,4.7176
miss,10.8547
hit,0.3088
hit,0.3285
miss,12.5558
hit,1.7436
miss,21.0931
hit,0.2539
hit,0.9136
miss,10.7975
miss,5.8002
hit,1.765
miss,14.0183
hit,0.3955
miss,9.4688
miss,5.578
miss,8.0664
miss,3.2301
miss,3.9947
miss,5.4781
miss,4.0064
hit,0.5176
miss,9.2139
miss,4.247
hit,0.2902
miss,9.8541
hit,0.3321
miss,3.9992
hit,0.71
hit,0.603
miss,6.5441
miss,10.668
miss,15.991
hit,0.2813
miss,4.6349
miss,10.2208
miss,7.0124
hit,0.2503
hit,0.7164
miss,14.3962
miss,11.5001
miss,11.7142
miss,13.6731
miss,12.2571
hit,0.5426
miss,3.3958
miss,2.9531
hit,0.2506
miss,8.4577
miss,9.1326
miss,3.2234
hit,0.3035
miss,12.0897
hit,1.3177
hit,0.2904
hit,1.0636
miss,11.0388
hit,1.6968
miss,14.2584
hit,0.355
miss,17.5803
hit,1.4908
miss,10.1736
miss,3.8795
hit,1.7159
miss,10.463
miss,4.8714
hit,0.35
miss,3.9728
hit,0.4432
miss,5.8095
hit,0.4301
miss,11.5085
hit,0.3905
hit,0.483
miss,12.5737
hit,0.2792
miss,6.4714
miss,3.4194
miss,9.1031
hit,0.5121
hit,1.4949
hit,0.6602
miss,6.8059
hit,0.283
hit,0.592
miss,3.7539
miss,5.3706
hit,0.6492
miss,8.1751
hit,1.0278
hit,0.6585
miss,3.0372
miss,3.5169
miss,8.908
hit,0.3207
hit,0.3104
miss,5.717
hit,0.5972
hit,0.385
hit,0.3288
hit,0.3774
hit,0.3791
hit,0.2794
miss,10.4365
hit,0.3252
hit,1.2493
hit,1.0014
miss,6.8839
hit,0.2875
hit,0.4997
hit,1.523
hit,2.0814
hit,0.5045
hit,0.3924
hit,0.3271
hit,0.4208
hit,0.3762
hit,0.3004
hit,0.4542
miss,3.0191
miss,3.0167
hit,0.5493
miss,5.7454
hit,0.3195
hit,1.3943
hit,0.2897
miss,7.1864
hit,0.5679
hit,1.174
miss,3.8881
miss,9.5115
miss,4.0896
hit,0.6897
hit,0.2894
hit,0.6907
hit,0.6833
hit,0.963
hit,0.3033
hit,0.5584
hit,0.4356
miss,10.6637
hit,0.2708
hit,0.2937
hit,0.6931
hit,0.7181
hit,2.121
hit,0.8228
hit,0.6428
hit,0.7234
hit,0.6871
hit,0.8445
hit,0.3793
hit,1.3759
hit,0.7741
hit,0.9365
hit,0.6418
miss,6.1266
hit,0.3233
hit,0.6635
hit,0.3948
hit,0.3164
hit,0.859
hit,0.3264
miss,9.3243
hit,0.648
hit,0.9491
hit,0.2913
hit,0.2799
hit,0.2625
hit,1.8561
hit,0.9174
hit,1.4029
hit,0.6542
miss,10.1182
hit,0.5758
hit,0.6065
miss,3.0448
hit,0.2639
hit,0.246
hit,1.8921
hit,1.4944
miss,5.1847
hit,0.268
hit,1.8952
hit,0.3393
hit,0.7713
hit,0.8171
hit,0.2921
hit,0.6673
hit,0.7188
hit,0.3023
miss,4.3185
hit,0.8507
hit,0.638
hit,0.6483
hit,0.2892
miss,6.0906
miss,4.0348
hit,0.2909
hit,0.3152
hit,0.3152
hit,0.3793
hit,0.3357
hit,1.0097
hit,0.7036
hit,0.823
hit,0.4139
hit,0.3345
hit,0.4294
miss,22.0907
hit,0.2823
hit,0.3414
hit,0.3228
miss,6.9554
hit,1.5557
hit,0.7815
hit,0.3593
hit,1.9011
hit,0.7286
hit,1.0891
hit,0.8378
hit,0.2782
hit,0.2785
hit,0.289
hit,1.5824
hit,0.6046
hit,0.3431
miss,22.2516
hit,1.5128
miss,19.8946
hit,0.2871
hit,0.5944
hit,0.6156
hit,0.7186
hit,0.3853
hit,0.4928
hit,1.0369
hit,0.3178
hit,0.7775
hit,1.2572
hit,0.4218
hit,0.3197
hit,0.4277
hit,0.5307
hit,0.4852
hit,0.3438
hit,0.5512
hit,1.0345
hit,0.4265
hit,2.1775
hit,0.7167
hit,0.3765
hit,0.9689
hit,0.4182
hit,0.5052
hit,1.1699
hit,0.7765
hit,0.2999
hit,0.6669
hit,0.2775
hit,0.6688
hit,0.5999
hit,0.8128
hit,0.6371
hit,0.644
hit,0.345
hit,1.3814
hit,1.6072
hit,0.2902
hit,0.6196
miss,8.379
hit,0.2832
miss,4.4281
hit,1.3838
hit,0.3326
hit,0.2949
hit,0.6092
miss,9.65
hit,0.5639
hit,0.5903
hit,0.6258
hit,0.5653
miss,7.973
hit,0.7575
hit,0.6595
hit,0.3977
hit,0.6838
hit,1.3957
hit,0.5653
hit,0.7255
hit,0.8092
hit,0.3788
hit,0.34
