event_type,latency_ms
recovered,17.113
recovered,4.7414
recovered,4.4031
recovered,4.6101
recovered,3.8011
recovered,6.7825
recovered,3.5574
recovered,7.7848
recovered,4.0853
recovered,8.4701
retry,4005.7232
retry,4002.0578
retry,2496.6793
retry,2567.1992
retry,2509.5768
retry,2516.397
retry,2575.8567
hit,0.4835
retry,2522.0556
retry,2508.5199
retry,2527.9343
retry,2489.3591
retry,2511.9605
retry,2527.9641
retry,2515.1885
hit,0.2806
retry,2546.5183
hit,0.4952
retry,2520.5197
retry,2530.5915
retry,2498.1835
retry,2493.4311
hit,1.013
retry,2529.1395
retry,2510.3593
hit,0.3986
retry,2573.4921
retry,2506.7937
retry,2497.5414
retry,2524.6136
retry,2524.6549
retry,2515.0232
retry,2503.5071
retry,2535.3937
retry,2525.3654
miss,29.1259
hit,0.3126
miss,4.5726
miss,10.7234
miss,4.4763
miss,22.2659
miss,4.0705
miss,14.456
miss,9.618
miss,8.6803
miss,7.0391
miss,5.662
miss,8.8093
miss,4.313
miss,6.6068
hit,0.4942
hit,0.3192
miss,5.1026
hit,0.3352
miss,4.5667
miss,11.5612
miss,9.1524
hit,0.3312
miss,3.828
miss,4.0674
hit,0.3393
hit,0.9058
miss,4.4672
miss,3.6132
miss,4.0677
miss,4.8242
miss,4.3581
hit,0.351
hit,0.9253
miss,8.8377
miss,4.7078
miss,5.3611
hit,0.5324
hit,0.3674
miss,5.7948
hit,0.4432
miss,5.6455
miss,9.866
hit,0.4189
hit,1.0166
hit,0.6399
hit,0.3204
miss,21.4722
hit,1.2143
miss,6.458
miss,5.681
miss,10.2155
hit,0.3369
hit,0.5167
hit,0.447
hit,0.6263
hit,0.4497
miss,4.8561
hit,0.3827
hit,0.4253
hit,0.7081
hit,0.5476
hit,0.8423
hit,0.742
miss,5.0085
hit,0.6039
hit,0.7241
hit,0.365
recovered,3.3908
hit,0.319
recovered,3.8636
hit,0.3855
hit,0.3073
recovered,3.3495
hit,0.2558
hit,0.2871
hit,0.2947
hit,0.5672
hit,0.4642
hit,0.3595
hit,0.3154
recovered,13.6945
recovered,5.7731
hit,0.4933
recovered,21.6005
hit,0.3786
hit,0.6199
hit,0.3295
hit,0.4895
hit,0.6082
recovered,3.2532
recovered,3.5813
hit,0.3469
recovered,5.1713
hit,0.304
