event_type,latency_ms
retry,4004.2646
retry,4003.0651
retry,2521.7073
retry,2522.8961
retry,2542.3784
retry,2508.2927
retry,2503.4709
retry,2524.7362
retry,2525.0652
retry,2521.034
retry,2557.6394
retry,2506.1135
retry,2537.3402
retry,2558.3684
retry,2529.8734
retry,2516.5486
retry,2496.8004
retry,2505.0547
retry,2496.6085
retry,2629.8246
retry,2564.255
retry,2533.114
retry,2528.918
retry,2509.5961
retry,2509.5379
retry,2510.6485
retry,2519.0258
retry,2522.8746
retry,2527.2384
retry,2562.0949
retry,2601.7406
retry,2516.5875
retry,2519.0771
retry,2506.1221
retry,2515.0743
retry,2493.4011
retry,2530.4391
retry,2549.0415
retry,2754.1113
retry,2510.5815
retry,2512.3327
retry,2494.8833
retry,2512.1033
retry,2514.313
retry,2511.5614
retry,2495.3668
retry,2525.0907
retry,2512.2008
retry,2524.3495
retry,2517.1149
retry,2510.5324
retry,2510.2746
retry,2496.8154
retry,2527.3263
retry,2598.2022
retry,2518.7607
retry,2536.6619
retry,2506.9399
retry,2493.8521
retry,2562.8431
retry,2509.0387
retry,2533.8399
retry,2539.2559
retry,2511.6072
retry,2573.6251
retry,2499.9745
retry,2515.8024
retry,2501.8568
retry,2498.9579
retry,2501.5976
retry,2508.9414
retry,2497.227
retry,2518.3783
retry,2521.9235
retry,2550.703
retry,2501.0488
retry,2532.5868
