event_type,latency_ms
retry,4002.6376
retry,4003.4838
retry,2520.4186
retry,2522.7394
retry,2514.5745
retry,2497.8864
retry,2539.0637
retry,2498.4128
retry,2539.567
retry,2521.8441
retry,2506.1278
retry,2529.7279
retry,2510.7708
retry,2517.5567
retry,2525.9018
retry,2500.9348
retry,2515.1134
retry,2506.0298
retry,2516.758
retry,2513.4704
retry,2510.72
retry,2505.4867
retry,2536.37
retry,2580.0996
retry,2499.4514
retry,2517.18
retry,2519.5386
retry,2501.6177
retry,2501.0161
retry,2513.3522
retry,2511.0154
retry,2574.5142
retry,2551.1377
retry,2534.3752
retry,2511.2081
retry,2501.4074
retry,2529.6493
retry,2548.8741
retry,2511.5433
retry,2522.1624
retry,2509.8059
retry,2491.8511
retry,2509.7425
retry,2537.4146
retry,2509.2082
retry,2496.9561
retry,2509.9301
retry,2526.5033
retry,2500.7086
retry,2519.197
retry,2502.9807
retry,2509.8436
retry,2518.0192
retry,2523.9084
retry,2516.7029
retry,2499.233
retry,2501.6599
retry,2496.7172
retry,2530.3547
retry,2601.1314
retry,2498.9483
retry,2507.4513
retry,2494.4992
retry,2506.9938
retry,2513.0732
retry,2512.7182
retry,2504.7436
retry,2505.6014
retry,2493.8064
retry,2496.0232
retry,2495.9183
retry,2497.0763
retry,2517.0817
retry,2517.3385
retry,2507.8726
retry,2512.2368
retry,2536.8185
retry,2512.4459
retry,2510.1349
retry,2502.9385
retry,2536.1321
retry,2501.5421
retry,2496.0566
retry,2512.3131
retry,2489.6619
retry,2498.9879
retry,2490.7792
retry,2503.3989
retry,2510.535
retry,2526.3929
retry,2500.0153
retry,2532.8269
retry,2512.2933
retry,2502.2073
retry,2494.6804
retry,2532.6829
retry,2501.4229
retry,2510.463
retry,2585.573
retry,2523.6514
retry,2526.216
retry,2493.567
retry,2499.8529
retry,2494.4923
retry,2516.8176
retry,2494.693
retry,2540.642
retry,2528.4007
retry,2507.5543
retry,2501.3168
retry,2510.8669
retry,2592.9501
retry,2515.0361
retry,2514.2381
retry,2498.302
retry,2508.4798
retry,2499.9537
retry,2496.8677
retry,2523.1082
retry,2560.9908
retry,2507.4832
retry,2498.3964
retry,2505.1179
retry,2523.9434
retry,2521.3385
retry,2501.6959
retry,2554.5428
retry,2580.2393
retry,2563.8709
retry,2529.6302
retry,2584.1312
retry,2512.5041
retry,2548.2843
retry,2497.2563
retry,2503.475
retry,2529.3851
retry,2532.6271
retry,2507.5338
retry,2531.2188
retry,2502.45
retry,2539.3965
retry,2500.2022
retry,2522.2225
retry,2501.4687
retry,2532.2845
retry,2523.8163
retry,2508.7643
retry,2535.9375
retry,2514.36
retry,2542.0949
retry,2548.6047
retry,2488.116
retry,2510.2229
retry,2514.57
retry,2497.4983
retry,2592.0198
retry,2517.2925
retry,2529.3598
retry,2518.8055
retry,2506.8181
retry,2492.9435
retry,2503.6061
retry,2546.5415
retry,2537.9713
retry,2508.1246
retry,2588.0294
retry,2505.8029
retry,2525.6789
retry,2508.0259
retry,2505.6405
retry,2521.7116
retry,2510.2429
retry,2524.3046
retry,2525.0847
retry,2500.7162
retry,2503.1281
retry,2575.5043
retry,2564.0371
retry,2516.5839
retry,2531.1015
retry,2505.3256
retry,2576.9181
retry,2517.7367
retry,2511.7006
retry,2581.0523
retry,2504.8425
retry,2492.2447
retry,2492.7387
retry,2519.9561
retry,2527.8857
retry,2514.2264
retry,2536.3739
retry,2519.2363
retry,2538.7383
retry,2551.9178
retry,2532.0704
retry,2573.9241
retry,2508.7612
retry,2527.1547
retry,2527.9768
retry,2558.4362
retry,2531.9302
retry,2516.803
retry,2528.048
retry,2511.5712
retry,2524.1404
retry,2570.5583
retry,2509.2852
retry,2511.0533
retry,2504.5862
retry,2546.3252
retry,2556.3254
retry,2502.8484
retry,2515.9636
retry,2505.6796
retry,2514.2529
retry,2509.567
retry,2527.6601
retry,2549.9039
retry,2522.4066
retry,2528.3341
retry,2530.2539
retry,2503.1941
retry,2509.1329
retry,2488.4243
retry,2517.8092
retry,2514.3147
retry,2522.6083
retry,2557.1752
retry,2517.189
retry,2506.844
retry,2513.1924
retry,2539.8734
retry,2489.2163
retry,2514.7824
retry,2522.1119
retry,2511.1053
retry,2513.5381
retry,2501.6844
retry,2509.1448
retry,2542.0403
retry,2558.7254
retry,2534.9741
retry,2539.217
retry,2518.2838
retry,2517.0884
retry,2511.0652
retry,2528.6565
retry,2545.2881
retry,2554.2436
retry,2530.534
retry,2557.4987
retry,2510.5448
retry,2511.5185
