event_type,latency_ms
miss,7.6885
miss,4.4012
miss,6.4607
miss,5.0275
miss,9.4755
miss,10.6382
miss,4.3883
miss,13.0143
miss,4.3373
miss,4.761
miss,10.5133
miss,8.136
miss,9.3946
hit,0.4075
miss,7.668
hit,0.3388
hit,0.3643
miss,4.9038
miss,5.2299
miss,6.1893
miss,11.1899
miss,5.908
miss,5.167
miss,7.1273
miss,9.0551
miss,11.4162
miss,4.035
hit,0.3514
hit,0.3548
miss,6.5467
hit,0.3393
miss,3.5052
hit,0.3958
hit,0.4287
miss,4.9284
miss,4.5164
miss,4.6914
miss,4.9574
hit,0.4179
hit,0.5915
miss,4.7376
hit,0.4067
miss,4.6604
hit,0.3362
miss,4.6217
hit,0.6192
hit,0.402
hit,0.3469
miss,3.7572
hit,0.2978
hit,0.3045
hit,0.3774
hit,0.4036
hit,0.4361
hit,0.3724
miss,10.9928
miss,6.3834
hit,0.3765
hit,0.3061
miss,12.6574
hit,0.2964
miss,3.6647
miss,4.838
hit,0.3092
hit,0.3119
miss,13.9616
miss,3.3731
miss,11.3721
miss,6.9304
miss,8.2753
miss,13.9463
hit,0.3679
hit,0.4117
hit,0.6185
hit,1.4439
hit,0.3943
hit,0.7355
hit,0.3862
miss,11.9336
miss,2.9254
miss,2.9798
hit,0.2606
hit,0.2904
miss,4.5121
hit,0.3781
miss,8.2009
miss,4.1647
hit,0.3159
hit,0.3793
hit,0.9851
hit,0.4158
miss,19.2232
hit,0.2689
hit,0.3262
miss,7.4089
hit,1.3425
hit,1.4143
miss,25.0251
miss,6.0685
hit,0.7298
hit,0.3941
hit,0.7463
miss,11.8525
miss,7.2775
hit,0.356
hit,0.4327
hit,0.7701
hit,0.4451
miss,5.8131
miss,6.4819
hit,0.319
miss,10.4265
hit,0.3185
miss,6.1023
hit,0.8659
hit,0.8447
hit,0.3033
hit,0.7749
hit,0.7291
hit,0.896
hit,0.3042
hit,0.6084
hit,1.596
miss,15.2733
hit,2.6896
hit,0.5751
hit,0.7846
miss,16.969
hit,0.2627
hit,1.5099
hit,0.2975
hit,0.3741
hit,0.8466
miss,17.6051
miss,13.4742
miss,2.907
hit,0.2432
hit,0.2613
hit,0.6173
hit,1.5728
hit,0.7582
hit,0.9096
miss,7.3395
hit,0.4954
hit,0.3941
hit,0.3402
hit,0.8712
hit,2.7652
hit,0.3643
hit,1.4095
hit,0.3483
hit,0.3078
hit,0.5343
hit,0.5488
miss,16.1047
miss,22.7842
hit,0.2759
hit,0.273
hit,0.3183
hit,0.7508
hit,0.3104
hit,0.3097
hit,0.3176
hit,1.0822
hit,1.1256
hit,1.0591
hit,0.3307
hit,2.574
hit,0.3242
hit,0.3307
hit,2.1462
hit,1.1232
miss,3.0999
hit,0.3049
hit,1.1349
hit,0.7653
hit,0.3145
hit,2.7223
hit,1.085
hit,0.3438
miss,17.7159
hit,0.9534
hit,0.7026
hit,0.3877
hit,0.3402
miss,4.3218
hit,0.2999
hit,0.4125
miss,3.927
hit,0.3793
hit,0.3943
hit,0.3126
hit,0.5863
hit,1.4954
hit,1.8363
hit,0.3831
hit,0.7677
hit,0.3991
hit,0.803
hit,0.3183
miss,14.1642
hit,0.2773
miss,13.9098
hit,0.2754
miss,21.8847
hit,0.4213
hit,0.3245
hit,0.4125
hit,1.8497
hit,0.3252
hit,0.9675
hit,0.3195
hit,0.7563
hit,0.3464
miss,2.9302
hit,0.2434
hit,0.2899
miss,15.3105
hit,0.4432
hit,1.7009
miss,5.7743
hit,0.2894
hit,0.7064
hit,0.3417
miss,4.3046
hit,0.5083
hit,0.5646
miss,4.0448
hit,0.3109
hit,0.3133
miss,10.8621
hit,0.2911
hit,0.3071
hit,0.3419
hit,0.3359
hit,0.3562
miss,3.6831
miss,3.6943
hit,0.932
hit,0.4604
hit,0.3092
hit,0.6766
hit,1.7197
hit,1.1032
hit,2.0075
hit,0.9124
hit,0.3116
hit,0.2646
hit,0.2458
hit,0.258
hit,2.459
hit,2.3501
hit,0.3283
hit,0.3116
hit,0.3114
hit,0.2921
hit,0.3462
hit,0.3166
hit,1.8961
miss,19.4037
hit,0.942
miss,3.664
hit,0.3145
hit,2.2631
hit,0.3819
hit,0.3645
hit,0.9141
hit,0.4001
hit,0.3579
hit,0.4196
hit,1.4625
hit,0.4225
hit,1.2839
hit,1.9772
hit,0.7563
hit,0.4025
miss,19.9676
hit,0.2778
hit,0.3483
miss,13.9525
hit,0.2549
hit,1.0381
hit,0.3123
hit,0.3216
hit,0.3312
hit,0.2611
hit,0.3994
miss,3.1598
hit,0.5426
hit,0.3333
hit,0.3161
hit,1.5318
hit,0.3259
hit,0.6816
hit,2.1498
hit,2.3913
hit,0.808
hit,0.3006
miss,11.523
miss,7.8552
hit,1.3654
